Column1;Column2;Column3;Column4
1137;4.40;0.42;17.23
1162;3.47;-0.36;16.12
1216;4.90;-0.04;14.07
1235;-2.41;-0.81;10.34
1255;5.29;0.38;15.65
1274;-2.29;-0.64;6.80
1294;4.51;-0.42;15.43
1313;-0.11;-0.50;7.24
1333;5.43;-0.75;15.10
1352;-1.80;-0.53;5.22
1372;1.25;-0.60;14.76
1391;-0.10;-0.26;3.48
1411;-2.07;-0.81;13.79
1430;1.70;-0.01;7.36
1449;-2.14;-1.18;9.66
1469;4.12;0.54;14.47
1488;-1.74;0.08;4.40
1508;3.32;-1.07;18.81
1527;-0.51;-0.15;1.57
1546;-1.16;-0.91;15.25
1565;6.36;-0.92;7.21
1588;-4.77;-1.74;10.33
1607;5.31;1.57;12.42
1627;-3.12;-0.83;4.86
1646;2.62;-0.66;18.62
1666;-1.67;0.45;2.54
1685;2.21;-1.00;16.60
1704;-0.52;-0.63;4.84
1724;0.48;-1.46;12.56
1743;0.42;0.49;7.27
1763;-2.74;-1.10;10.24
1782;3.88;0.45;10.41
1802;-2.44;-0.44;9.17
1856;1.01;-1.29;16.52
1875;1.20;0.63;3.30
1895;-0.98;-0.31;14.30
1914;3.47;-0.56;6.71
1934;-3.51;-1.12;9.62
1953;3.53;0.58;12.69
1973;-2.40;-1.04;5.98
1992;4.82;-0.55;15.18
2012;-1.64;0.33;4.98
2034;5.26;-0.50;13.93
2054;-2.31;-0.85;8.26
2073;3.35;-0.26;14.60
2093;-1.45;-0.38;5.60
2112;3.33;-0.70;16.20
2131;-0.27;-0.21;3.43
2151;1.16;-0.72;15.78
2169;0.61;0.40;4.11
2189;-2.47;-0.90;11.82
2208;1.54;0.08;8.09
2228;-1.35;-1.23;8.96
2247;41.87;48.61;51.65
2266;-2.86;-0.52;7.03
2285;4.46;0.17;13.39
2305;-2.47;-0.81;7.90
2324;3.65;-0.45;14.59
2343;-0.20;-0.55;5.85
2363;4.58;-0.52;15.59
2382;4.99;0.14;13.33
2402;2.04;-1.11;16.24
2421;3.18;-0.46;16.53
2439;-0.95;-0.55;13.01
2494;5.56;-0.36;14.71
2513;-1.26;0.74;4.28
2533;3.36;-1.38;16.89
2552;0.35;-0.16;3.31
2572;-1.78;-1.19;14.03
2591;3.11;0.49;15.66
2611;-4.48;-1.53;10.08
2630;5.34;0.75;12.49
2650;0.99;-0.74;3.35
2668;2.26;-0.18;17.96
2688;-0.90;0.01;1.85
2707;0.29;-1.02;16.73
2726;5.49;-0.24;15.75
2746;-1.30;-1.74;11.54
2765;4.45;0.18;15.78
2785;-3.79;0.34;3.64
2804;5.43;-0.01;14.12
2824;0.18;-0.22;5.87
2843;3.83;-0.42;14.28
2865;-2.73;-0.97;7.73
2884;4.81;-0.00;-0.00
2904;-2.97;-0.92;7.93
2923;3.73;-0.52;15.51
2942;-1.64;-0.47;4.13
2962;0.76;-0.29;16.18
2981;5.09;-0.48;15.93
3001;-1.59;-0.00;13.45
3020;5.05;-0.06;8.19
3040;-3.83;-0.38;7.55
3059;5.37;-0.74;16.81
3079;-2.33;-0.73;2.92
3133;-5.97;-1.67;9.59
3152;5.24;1.10;12.99
3172;0.73;0.50;3.29
3191;4.42;-0.06;15.22
3211;-1.70;-0.49;8.37
3230;4.56;-1.29;15.01
3250;-2.38;-0.50;6.48
3269;2.98;-0.29;14.46
3289;4.13;-0.56;14.90
3310;-0.51;-0.54;14.79
3330;5.10;0.04;14.52
3349;-2.16;-0.53;12.91
3368;6.21;-0.18;9.08
3388;-3.85;-0.59;8.62
3407;5.50;0.11;16.28
3427;-1.07;-0.01;2.44
3446;1.08;-1.71;18.73
3466;2.88;0.18;18.35
3485;-0.78;-1.12;14.02
3505;4.94;-0.41;15.84
3524;-1.85;-0.93;7.63
3544;3.87;0.24;17.06
3563;-1.16;0.07;2.57
3582;0.75;-1.06;17.18
3602;5.90;-0.04;16.62
3621;-3.51;-0.81;11.52
3641;5.82;-0.75;12.83
3660;-1.09;-0.97;3.63
3680;0.43;-1.32;18.31
3701;1.99;0.39;1.07
3721;-3.66;-1.10;17.44
3776;1.45;-0.76;17.66
3795;0.61;-0.49;16.60
3815;-3.30;-1.52;11.04
3834;-0.58;-1.34;16.16
3854;11.05;0.35;-0.87
3873;-7.47;-1.65;19.64
3893;3.18;1.30;5.11
3912;9.41;1.02;0.56
3932;-7.12;-2.31;21.03
3951;3.57;2.87;0.24
3971;-0.97;-3.27;13.98
3990;-6.85;-0.37;12.02
4009;9.49;0.09;0.86
4028;-3.88;-1.48;21.31
4047;-1.17;1.09;3.11
4067;12.33;0.92;1.06
4086;-10.04;-1.90;19.07
4106;4.32;2.15;-3.58
4125;0.94;-4.06;21.11
4148;3.93;-0.36;0.98
4167;-10.75;1.40;-3.07
4187;2.09;-0.30;18.92
4206;1.00;-0.76;3.20
4225;-1.91;-1.33;17.79
4244;6.50;1.53;10.24
4263;-6.08;-0.93;2.36
4283;1.76;-0.65;20.33
4302;3.70;-1.56;1.01
4322;6.44;-0.93;2.07
4341;5.02;-0.87;13.13
4361;-1.04;0.29;2.94
4416;3.90;0.50;12.03
4435;-3.45;-1.24;11.48
