Column1;Column2;Column3
1145;256;263
1170;255;264
1195;256;263
1219;260;263
1244;256;263
1268;256;263
1293;260;263
1317;255;263
1342;256;263
1367;256;263
1390;256;263
1415;256;263
1439;255;263
1467;256;263
1491;256;263
1516;256;263
1541;256;263
1565;255;263
1590;256;263
1614;256;263
1639;260;263
1664;260;263
1688;260;263
1713;259;263
1737;260;263
1762;256;263
1788;256;263
1813;260;263
1838;256;263
1862;256;263
1887;256;263
1911;256;264
1972;260;264
1996;256;263
2021;260;264
2045;256;263
2070;256;264
2095;256;263
2122;256;263
2182;256;264
2206;256;263
2266;256;262
2290;256;263
2350;256;263
2374;256;263
2433;256;263
2457;256;263
2516;256;264
2541;255;262
2600;256;263
2625;256;263
2686;256;263
2711;257;263
2736;260;263
2760;260;263
2785;256;263
2809;256;263
2834;259;263
2857;256;263
2882;256;263
2907;256;263
2931;256;262
2956;260;264
2980;256;264
3003;256;262
3027;256;263
3052;256;264
3077;256;262
3101;260;264
3126;260;263
3150;256;262
3175;256;263
3200;260;263
3224;256;262
3249;255;264
3273;256;263
3298;256;263
3324;256;263
3349;256;263
3374;256;264
3398;256;263
3423;256;264
3447;256;262
3472;256;268
3496;256;262
3521;260;262
3546;260;263
3570;260;264
3595;256;263
3619;255;263
3646;256;263
3671;260;263
3695;256;263
3720;256;263
3744;260;263
3805;256;263
3829;260;262
3854;255;263
3878;260;262
3903;256;264
3928;256;264
3952;256;263
3979;256;263
4003;255;264
4028;256;264
4052;260;263
4077;256;264
4102;255;264
4126;256;264
4151;256;262
4175;256;263
4235;256;264
4259;256;262
4284;260;263
4308;260;264
4336;256;263
4361;260;263
4385;256;263
4410;256;263
4433;256;263
4458;254;263
4483;260;264
4507;255;263
4532;256;262
4556;255;262
4581;256;262
4605;256;264
4630;256;262
4653;256;263
4677;256;264
4702;256;263
4726;260;262
4751;260;262
4775;260;262
4800;260;263
4825;256;263
4849;256;264
4874;256;263
4898;256;264
4923;256;262
4947;255;263
4974;255;264
4999;256;264
5023;256;262
5048;256;263
5072;256;262
5097;256;263
5122;256;262
5146;260;262
5171;255;263
5195;256;263
5220;256;263
5244;256;263
5269;256;263
5296;256;262
5320;260;262
5345;260;263
5369;260;263
5430;255;263
5454;260;263
5479;256;263
5504;256;263
5528;256;263
5553;256;263
5576;256;263
5601;256;262
5628;255;263
